"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"consent";"mood_1_1";"mood_1_2";"mood_1_3";"mood_1_4";"mood_1_5";"mood_2_1";"mood_2_2";"mood_2_3";"mood_2_4";"mood_2_5";"mood_3_1";"mood_3_2";"mood_3_3";"mood_3_4";"mood_3_5";"mood_4_1";"mood_4_2";"mood_4_3";"mood_4_4";"mood_4_5";"NS_1";"NS_2";"NS_3";"NS_4";"NS_5";"perception";"gender";"age";"german";"data_use";"data_use_not";"careful";"comments";"browser";"referer";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts5996095";"rts5996099";"rts5996101";"rts5996105";"rts5996106";"rts5996111";"rts5996113";"rts5996117";"rts5996121";"rts5996122";"rts5996123";"rts5996127";"rts5996128";"rts5996129";"rts5996131";"rts5996132";"rts5996133";"rts5996141";"rts5996145";"rts5996699"
"211";"0";"1";"31";"5996094";"-77";"1";"2";"1";"-77";"-77";"-77";"-77";"-77";"6";"6";"5";"1";"5";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"2";"6";"7";"6";"4";"1";"81";"1";"2";"Testtext";"7";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996127,5996128,5996129,5996108,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"0";"1";"0";"-77";"-77";"7a948ea711534c17532816a66ce6bb7a";"1";"0";"1543330446";"2018-11-27 14:54:06";"2018-11-27 14:54:07";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"212";"0";"1";"31";"5996094";"-77";"0";"4";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"3";"5";"1";"7";"7";"3";"6";"2";"6";"3";"6";"2";"78";"2";"2";"Testtext";"7";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996108,5996120,5996121,5996122,5996123,5996141,5996145,5996699,5996105,5996106,5996094";"0";"0";"0";"-77";"-77";"993998477f91bb70f5aa599605d7f2f1";"1";"0";"1543330448";"2018-11-27 14:54:08";"2018-11-27 14:54:08";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"213";"0";"1";"31";"5996094";"-77";"1";"2";"1";"-77";"-77";"-77";"-77";"-77";"6";"1";"4";"1";"5";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"6";"5";"3";"2";"6";"5";"2";"43";"1";"2";"Testtext";"3";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996127,5996128,5996129,5996108,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"1";"1";"0";"-77";"-77";"0291b2bf7f741dd6eb229c0984581031";"1";"0";"1543330448";"2018-11-27 14:54:08";"2018-11-27 14:54:09";"0000-00-00 00:00:00";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1";"1"
"214";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"1";"1";"0";"-77";"-77";"e908779453e22a7b71d0b1bda8027da4";"1";"0";"1543330449";"2018-11-27 14:54:09";"2018-11-27 14:54:09";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"215";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"1";"0";"0";"-77";"-77";"5acbe0b30232c79e53efe7151a681409";"1";"0";"1543330450";"2018-11-27 14:54:10";"2018-11-27 14:54:10";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"216";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"0";"1";"0";"-77";"-77";"6e93ec05998e683ca7eefabc2b6723ab";"1";"0";"1543330450";"2018-11-27 14:54:10";"2018-11-27 14:54:10";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"217";"0";"1";"31";"5996094";"-77";"1";"3";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"7";"4";"7";"4";"2";"-77";"-77";"-77";"-77";"-77";"7";"4";"4";"3";"5";"2";"2";"71";"3";"1";"Testtext";"5";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996108,5996111,5996113,5996117,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"1";"0";"0";"-77";"-77";"04924d4a0f234029a59bcf01b2c7d485";"1";"0";"1543330450";"2018-11-27 14:54:10";"2018-11-27 14:54:11";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"218";"0";"1";"31";"5996094";"-77";"1";"4";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"3";"3";"2";"1";"3";"1";"7";"4";"6";"1";"4";"3";"33";"4";"1";"Testtext";"3";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996108,5996120,5996121,5996122,5996123,5996141,5996145,5996699,5996105,5996106,5996094";"1";"0";"0";"-77";"-77";"ad404151455d34f87529d5ed7acd17c5";"1";"0";"1543330451";"2018-11-27 14:54:11";"2018-11-27 14:54:12";"0000-00-00 00:00:00";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"219";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"1";"1";"0";"-77";"-77";"7fbe9edf79d2f07bd982077726da1fd1";"1";"0";"1543330452";"2018-11-27 14:54:12";"2018-11-27 14:54:12";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"220";"0";"1";"31";"5996094";"-77";"1";"1";"1";"7";"3";"2";"6";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"5";"3";"5";"5";"1";"3";"29";"4";"2";"Testtext";"5";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996131,5996132,5996133,5996126,5996108,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"1";"1";"0";"-77";"-77";"0a2d6936815cd24b83151a7a62a414f4";"1";"0";"1543330453";"2018-11-27 14:54:13";"2018-11-27 14:54:14";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1"
"221";"0";"1";"31";"5996094";"-77";"1";"4";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"6";"4";"6";"2";"3";"3";"1";"5";"5";"4";"1";"2";"38";"3";"1";"Testtext";"4";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996108,5996120,5996121,5996122,5996123,5996141,5996145,5996699,5996105,5996106,5996094";"0";"1";"0";"-77";"-77";"1a56bae138fa62a54526080f5c0a72ad";"1";"0";"1543330454";"2018-11-27 14:54:14";"2018-11-27 14:54:15";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"222";"0";"1";"31";"5996094";"-77";"1";"2";"1";"-77";"-77";"-77";"-77";"-77";"6";"6";"5";"6";"5";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"2";"1";"3";"7";"6";"3";"95";"2";"1";"Testtext";"7";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996127,5996128,5996129,5996108,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"1";"1";"0";"-77";"-77";"b73654028eeafc2e8aacae1b9e8111b0";"1";"0";"1543330455";"2018-11-27 14:54:15";"2018-11-27 14:54:16";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1"
"223";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"0";"1";"0";"-77";"-77";"918a8333a1b84eb1c9d8dcf38bd0651c";"1";"0";"1543330456";"2018-11-27 14:54:16";"2018-11-27 14:54:16";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"224";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"1";"1";"0";"-77";"-77";"3fd93e0fae4ae33af84a1bb14f98af37";"1";"0";"1543330456";"2018-11-27 14:54:16";"2018-11-27 14:54:16";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"225";"0";"1";"31";"5996094";"-77";"1";"3";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"2";"3";"5";"2";"-77";"-77";"-77";"-77";"-77";"4";"2";"5";"5";"4";"3";"1";"80";"3";"1";"Testtext";"1";"Testtext";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996099,5996130,5996126,5996108,5996111,5996113,5996117,5996120,5996141,5996145,5996699,5996105,5996106,5996094";"1";"1";"0";"-77";"-77";"4847550b8515af1ab7e0da7a196d0f1f";"1";"0";"1543330457";"2018-11-27 14:54:17";"2018-11-27 14:54:18";"0000-00-00 00:00:00";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"226";"0";"1";"31";"5996701";"-77";"0";"-66";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-66";"-77";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/604.4.7 (KHTML, like Gecko) Version/11.0.2 Safari/604.4.7";"-99";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"5996095,5996101,5996102,5996701";"0";"1";"0";"-77";"-77";"d9c7919e876ea3418abf6529daa1788e";"1";"0";"1543330458";"2018-11-27 14:54:18";"2018-11-27 14:54:18";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
